[2025-06-20 10:06:06.521899] Step: 138     Loss: -0.0000381711    ELBO: -10.6300476909   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.664196] Step: 139     Loss: 0.0000017006    ELBO: -10.6300638018   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.803450] Step: 140     Loss: -0.0000006975    ELBO: -10.6300610794   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:06.942509] Step: 141     Loss: -0.0000003244    ELBO: -10.6300617440   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.085210] Step: 142     Loss: -0.0000004731    ELBO: -10.6300617456   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.226950] Step: 143     Loss: -0.0000000388    ELBO: -10.6300617028   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.371521] Step: 144     Loss: -0.0000000845    ELBO: -10.6300617852   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.515115] Step: 145     Loss: -0.0000001325    ELBO: -10.6300618165   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.657655] Step: 146     Loss: -0.0000000250    ELBO: -10.6300617483   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.798023] Step: 147     Loss: 0.0000000073    ELBO: -10.6300617809   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:07.940957] Step: 148     Loss: -0.0000000076    ELBO: -10.6300617914   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.086487] Step: 149     Loss: 0.0000000067    ELBO: -10.6300617714   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.233288] Step: 150     Loss: -0.0000000079    ELBO: -10.6300617878   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.373844] Step: 151     Loss: 0.0000000079    ELBO: -10.6300617861   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.514707] Step: 152     Loss: -0.0000000090    ELBO: -10.6300617830   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.657496] Step: 153     Loss: 0.0000000134    ELBO: -10.6300617746   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.802669] Step: 154     Loss: -0.0000000204    ELBO: -10.6300617717   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:08.948536] Step: 155     Loss: 0.0000000058    ELBO: -10.6300617734   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:09.096812] Step: 156     Loss: -0.0000000021    ELBO: -10.6300617773   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:09.249099] Step: 157     Loss: 0.0000000007    ELBO: -10.6300617790   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
[2025-06-20 10:06:09.417525] Step: 158     Loss: -0.0000000003    ELBO: -10.6300617804   log p(x): -10.6300617798   log p(x) (analytic): -10.6300617798   ETML: 0
